trafficID,num_cars,weatherStamp:,timeStamp,dateStamp,greenTime
B1,0,,08:16:22,2024-07-31,3
C1,0,,08:16:22,2024-07-31,3
A1,62,30,08:16:24,2024-07-31,31
D1,178,30,08:16:24,2024-07-31,50
B2,0,,08:16:27,2024-07-31,3
C2,0,,08:16:27,2024-07-31,3
B3,0,,08:16:32,2024-07-31,3
C3,0,,08:16:32,2024-07-31,3
B4,0,,08:16:37,2024-07-31,3
C4,0,,08:16:37,2024-07-31,3
B1,0,,08:16:42,2024-07-31,3
C1,0,,08:16:42,2024-07-31,3
B2,0,,08:16:47,2024-07-31,3
C2,0,,08:16:47,2024-07-31,3
B3,0,,08:16:52,2024-07-31,3
C3,0,,08:16:52,2024-07-31,3
B4,0,,08:16:57,2024-07-31,3
C4,0,,08:16:57,2024-07-31,3
A2,52,30,08:16:58,2024-07-31,26
B1,0,,08:17:02,2024-07-31,3
C1,0,,08:17:02,2024-07-31,3
B2,0,,08:17:07,2024-07-31,3
C2,0,,08:17:07,2024-07-31,3
B3,0,,08:17:12,2024-07-31,3
C3,0,,08:17:12,2024-07-31,3
B4,0,,08:17:17,2024-07-31,3
C4,0,,08:17:17,2024-07-31,3
D2,163,30,08:17:17,2024-07-31,50
B1,0,,08:17:22,2024-07-31,3
C1,0,,08:17:22,2024-07-31,3
A3,150,30,08:17:27,2024-07-31,50
B2,12,,08:17:27,2024-07-31,6
C2,0,,08:17:27,2024-07-31,3
C3,0,,08:17:33,2024-07-31,3
B3,0,,08:17:36,2024-07-31,3
C4,0,,08:17:38,2024-07-31,3
B4,0,,08:17:41,2024-07-31,3
C1,0,,08:17:43,2024-07-31,3
B1,0,,08:17:46,2024-07-31,3
C2,0,,08:17:48,2024-07-31,3
B2,0,,08:17:51,2024-07-31,3
C3,0,,08:17:53,2024-07-31,3
B3,0,,08:17:56,2024-07-31,3
C4,20,,08:17:58,2024-07-31,10
B4,0,,08:18:01,2024-07-31,3
B1,0,,08:18:06,2024-07-31,3
C1,10,,08:18:10,2024-07-31,5
D3,79,30,08:18:10,2024-07-31,40
B2,41,,08:18:11,2024-07-31,21
C2,0,,08:18:17,2024-07-31,3
A4,123,30,08:18:20,2024-07-31,50
C3,0,,08:18:22,2024-07-31,3
C4,0,,08:18:27,2024-07-31,3
C1,0,,08:18:32,2024-07-31,3
B3,0,,08:18:34,2024-07-31,3
C2,0,,08:18:37,2024-07-31,3
B4,0,,08:18:39,2024-07-31,3
C3,0,,08:18:42,2024-07-31,3
B1,0,,08:18:44,2024-07-31,3
C4,0,,08:18:47,2024-07-31,3
